Name,Region,Type,Set,Cost,FileName,ImageURL
Comet Hyren,Arderial,Creature,Promo,7,comethyren.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/7c83fe87-5f90-4162-a3b7-c8868580a8cd/comethyren.jpg
Jalex,Core,Magi,Promo,14,jalex.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/fc28421f-d8a0-4d62-98e4-b94d1a5e0ddc/jalex.jpg
Zet,Core,Magi,Promo,12,Zet.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/fa362518-84c4-485a-b44f-377a4fcf7136/Zet.jpg
Shivara,Arderial,Magi,Promo,12,shivara.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f7ba569d-c0a4-4f6e-b9df-482b8f2d66cc/shivara.jpg
Rayje's Construct,Universal,Creature,Promo,12,rayjesconstruct.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f0a048af-8985-47ed-ae67-e0a782f16a46/rayjesconstruct.jpg
Strag's Ring,Underneath,Relic,Promo,0,stragsring.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ee753190-1ee4-47d5-908c-0236684e9ba8/stragsring.jpg
Oranragan,Paradwyn,Creature,Promo,8,pdwynoranragan.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ea1fb5c5-bd1c-4aaa-a40c-cd1b00f98e59/pdwynoranragan.jpg
Thunderquake,Underneath,Spell,Promo,X,thunderquake.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e90b0c89-513c-40e4-ad37-da19cd409d68/thunderquake.jpg
Kybar's Gift,Kybar's Teeth,Spell,Promo,3,kybarsgift.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e7fde484-d5c1-4343-ad30-0acfa544fe99/kybarsgift.jpg
Nightmare Hyren,Core,Creature,Promo,7,nightmarehyren.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e6c8435a-f374-42af-8599-52327293341d/nightmarehyren.jpg
Emaal,Underneath,Magi,Promo,10,emaal.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e12e458d-4279-4c2a-b95f-a966e7b92904/emaal.jpg
Furlosk,Bograth,Creature,Promo,7,furloskbograth.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e04a7857-8bd7-4e67-be19-71ec967da9a9/furloskbograth.jpg
Gia,Weave,Magi,Promo,16,Gia.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d92c2bcd-1d01-4b5a-af97-39e83fbdc96e/Gia.jpg
Kayliel,Orothe,Magi,Promo,12,kayliel.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d8ec3ee5-448f-43be-aee2-41dff57d68be/kayliel.jpg
The Prankster,Kybar's Teeth,Magi,Promo,14,prankster.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d87854ef-0b3c-47ca-abbc-2d57ff442b16/prankster.jpg
Rejuvenate,Universal,Spell,Promo,2,rejuvenate.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d610a4d0-b687-4acd-b968-9871bf30b132/rejuvenate.jpg
Phosphor Hyren,Underneath,Creature,Promo,7,phosphorhyren.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d1572d83-ca2e-4fd3-a0cf-d5cffec367bc/phosphorhyren.jpg
Furlosk,Naroom,Creature,Promo,7,furlosknaroom.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/d02a68f8-9d64-4c6f-b891-71a83852f928/furlosknaroom.jpg
Gragling,Core,Creature,Promo,3,gragling.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ca29a7e4-6339-4913-8cc0-f15404a83bd5/gragling.jpg
